CD01O060E 004590 JILMAR TATTO                            Não       PT        São Paulo                360
CD01O060E 004590 JONAS DONIZETTE                         Não       PSB       São Paulo                353
CD01O060E 004590 JOSÉ DE FILIPPI                         Não       PT        São Paulo                354
CD01O060E 004590 JOSÉ MENTOR                             Não       PT        São Paulo                367
CD01O060E 004590 JUNJI ABE                               Obstrução DEM       São Paulo                355
CD01O060E 004590 KEIKO OTA                               Não       PSB       São Paulo                356
CD01O060E 004590 LUIZ FERNANDO MACHADO                   Obstrução PSDB      São Paulo                365
CD01O060E 004590 LUIZA ERUNDINA                          Não       PSB       São Paulo                371
CD01O060E 004590 MARA GABRILLI                           Obstrução PSDB      São Paulo                366
CD01O060E 004590 MARCELO AGUIAR                          Não       PSC       São Paulo                370
CD01O060E 004590 MISSIONÁRIO JOSÉ OLIMPIO                Não       PP        São Paulo                375
CD01O060E 004590 NELSON MARQUEZELLI                      Não       PTB       São Paulo                381
CD01O060E 004590 NEWTON LIMA                             Não       PT        São Paulo                377
CD01O060E 004590 OTONIEL LIMA                            Não       PRB       São Paulo                378
CD01O060E 004590 PASTOR MARCO FELICIANO                  Não       PSC       São Paulo                379
CD01O060E 004590 PAULO FREIRE                            Não       PR        São Paulo                380
CD01O060E 004590 RICARDO BERZOINI                        Não       PT        São Paulo                390
CD01O060E 004590 RICARDO IZAR                            Não       PV        São Paulo                383
CD01O060E 004590 ROBERTO DE LUCENA                       Não       PV        São Paulo                385
CD01O060E 004590 ROBERTO FREIRE                          Não       PPS       São Paulo                387
CD01O060E 004590 ROBERTO SANTIAGO                        Não       PV        São Paulo                386
CD01O060E 004590 RODRIGO GARCIA                          Obstrução DEM       São Paulo                388
CD01O060E 004590 SALVADOR ZIMBALDI                       Não       PDT       São Paulo                391
CD01O060E 004590 TIRIRICA                                Não       PR        São Paulo                392
CD01O060E 004590 VICENTINHO                              Não       PT        São Paulo                396
CD01O060E 004590 WALTER IHOSHI                           Obstrução DEM       São Paulo                553
CD01O060E 004590 CARLOS BEZERRA                          Não       PMDB      Mato Grosso              400
CD01O060E 004590 HOMERO PEREIRA                          Não       PR        Mato Grosso              402
CD01O060E 004590 JÚLIO CAMPOS                            Obstrução DEM       Mato Grosso              399
CD01O060E 004590 NERI GELLER                             Não       PP        Mato Grosso              520
CD01O060E 004590 ROBERTO DORNER                          Não       PP        Mato Grosso              519
CD01O060E 004590 SÁGUAS MORAES                           Não       PT        Mato Grosso              405
CD01O060E 004590 AUGUSTO CARVALHO                        Sim       PPS       Distrito Federal         545
CD01O060E 004590 ERIKA KOKAY                             Não       PT        Distrito Federal         407
CD01O060E 004590 IZALCI                                  Não       PR        Distrito Federal         408
CD01O060E 004590 JAQUELINE RORIZ                         Não       PMN       Distrito Federal         409
CD01O060E 004590 POLICARPO                               Não       PT        Distrito Federal         539
CD01O060E 004590 REGUFFE                                 Sim       PDT       Distrito Federal         413
CD01O060E 004590 RICARDO QUIRINO                         Não       PRB       Distrito Federal         551
CD01O060E 004590 RONALDO FONSECA                         Não       PR        Distrito Federal         414
CD01O060E 004590 DELEGADO WALDIR                         Obstrução PSDB      Goiás                    559
CD01O060E 004590 FLÁVIA MORAIS                           Não       PDT       Goiás                    422
CD01O060E 004590 ÍRIS DE ARAÚJO                          Não       PMDB      Goiás                    417
CD01O060E 004590 JOÃO CAMPOS                             Obstrução PSDB      Goiás                    418
CD01O060E 004590 JORGE PINHEIRO                          Não       PRB       Goiás                    548
CD01O060E 004590 JOVAIR ARANTES                          Não       PTB       Goiás                    419
CD01O060E 004590 LEANDRO VILELA                          Não       PMDB      Goiás                    420
CD01O060E 004590 MARINA SANTANNA                         Não       PT        Goiás                    564
CD01O060E 004590 PEDRO CHAVES                            Não       PMDB      Goiás                    428
CD01O060E 004590 RONALDO CAIADO                          Obstrução DEM       Goiás                    429
CD01O060E 004590 RUBENS OTONI                            Não       PT        Goiás                    425
CD01O060E 004590 VALDIVINO DE OLIVEIRA                   Obstrução PSDB      Goiás                    547
CD01O060E 004590 ANTÔNIO CARLOS BIFFI                    Não       PT        Mato Grosso do Sul       432
CD01O060E 004590 FABIO TRAD                              Não       PMDB      Mato Grosso do Sul       433
CD01O060E 004590 GERALDO RESENDE                         Não       PMDB      Mato Grosso do Sul       435
CD01O060E 004590 GIROTO                                  Sim       PR        Mato Grosso do Sul       434
CD01O060E 004590 MANDETTA                                Obstrução DEM       Mato Grosso do Sul       436
CD01O060E 004590 MARÇAL FILHO                            Não       PMDB      Mato Grosso do Sul       437
CD01O060E 004590 ALEX CANZIANI                           Não       PTB       Paraná                   445
CD01O060E 004590 ASSIS DO COUTO                          Não       PT        Paraná                   443
CD01O060E 004590 CIDA BORGHETTI                          Não       PP        Paraná                   442
CD01O060E 004590 DILCEU SPERAFICO                        Não       PP        Paraná                   444
CD01O060E 004590 DR. ROSINHA                             Não       PT        Paraná                   449
CD01O060E 004590 EDMAR ARRUDA                            Não       PSC       Paraná                   446
CD01O060E 004590 EDUARDO SCIARRA                         Obstrução DEM       Paraná                   461
CD01O060E 004590 FERNANDO FRANCISCHINI                   Obstrução PSDB      Paraná                   450
CD01O060E 004590 GIACOBO                                 Não       PR        Paraná                   466
CD01O060E 004590 LEOPOLDO MEYER                          Não       PSB       Paraná                   456
CD01O060E 004590 LUIZ CARLOS SETIM                       Obstrução DEM       Paraná                   535
CD01O060E 004590 LUIZ NISHIMORI                          Obstrução PSDB      Paraná                   542
