CD03O030O 005228 JANETE ROCHA PIETÁ                      Não       PT        São Paulo                358
CD03O030O 005228 JOÃO DADO                               Sim       PDT       São Paulo                362
CD03O030O 005228 JOÃO PAULO CUNHA                        Abstenção PT        São Paulo                361
CD03O030O 005228 JORGE TADEU MUDALEN                     Sim       DEM       São Paulo                363
CD03O030O 005228 JOSÉ GENOÍNO                            Não       PT        São Paulo                617
CD03O030O 005228 JOSÉ MENTOR                             Sim       PT        São Paulo                367
CD03O030O 005228 JUNJI ABE                               Sim       PSD       São Paulo                355
CD03O030O 005228 KEIKO OTA                               Sim       PSB       São Paulo                356
CD03O030O 005228 LUIZ FERNANDO MACHADO                   Sim       PSDB      São Paulo                365
CD03O030O 005228 LUIZA ERUNDINA                          Sim       PSB       São Paulo                371
CD03O030O 005228 MARA GABRILLI                           Sim       PSDB      São Paulo                366
CD03O030O 005228 MARCELO AGUIAR                          Sim       PSD       São Paulo                370
CD03O030O 005228 MISSIONÁRIO JOSÉ OLIMPIO                Sim       PP        São Paulo                375
CD03O030O 005228 NELSON MARQUEZELLI                      Sim       PTB       São Paulo                381
CD03O030O 005228 NEWTON LIMA                             Sim       PT        São Paulo                377
CD03O030O 005228 OTONIEL LIMA                            Sim       PRB       São Paulo                378
CD03O030O 005228 PASTOR MARCO FELICIANO                  Sim       PSC       São Paulo                379
CD03O030O 005228 PAULO FREIRE                            Sim       PR        São Paulo                380
CD03O030O 005228 PAULO PEREIRA DA SILVA                  Sim       PDT       São Paulo                372
CD03O030O 005228 PENNA                                   Sim       PV        São Paulo                382
CD03O030O 005228 RICARDO BERZOINI                        Abstenção PT        São Paulo                390
CD03O030O 005228 RICARDO IZAR                            Sim       PSD       São Paulo                383
CD03O030O 005228 RICARDO TRIPOLI                         Sim       PSDB      São Paulo                384
CD03O030O 005228 ROBERTO DE LUCENA                       Não       PV        São Paulo                385
CD03O030O 005228 ROBERTO SANTIAGO                        Sim       PSD       São Paulo                386
CD03O030O 005228 SALVADOR ZIMBALDI                       Sim       PDT       São Paulo                391
CD03O030O 005228 TIRIRICA                                Sim       PR        São Paulo                392
CD03O030O 005228 VANDERLEI MACRIS                        Sim       PSDB      São Paulo                521
CD03O030O 005228 VANDERLEI SIRAQUE                       Sim       PT        São Paulo                581
CD03O030O 005228 VAZ DE LIMA                             Sim       PSDB      São Paulo                394
CD03O030O 005228 VICENTE CANDIDO                         Não       PT        São Paulo                395
CD03O030O 005228 VICENTINHO                              Sim       PT        São Paulo                396
CD03O030O 005228 WALTER IHOSHI                           Sim       PSD       São Paulo                553
CD03O030O 005228 WILLIAM DIB                             Sim       PSDB      São Paulo                397
CD03O030O 005228 CARLOS BEZERRA                          Sim       PMDB      Mato Grosso              400
CD03O030O 005228 ELIENE LIMA                             Sim       PSD       Mato Grosso              401
