CD03O038O 005235 CHICO DAS VERDURAS                      Abstenção PRP       Roraima                  3
CD03O038O 005235 BENEDITA DA SILVA                       Sim       PT        Rio de Janeiro           291
CD03O038O 005235 CELSO JACOB                             Sim       PMDB      Rio de Janeiro           632
CD03O038O 005235 CHICO ALENCAR                           Não       PSOL      Rio de Janeiro           295
CD03O038O 005235 DR. ADILSON SOARES                      Sim       PR        Rio de Janeiro           293
CD03O038O 005235 DR. CARLOS ALBERTO                      Sim       PMN       Rio de Janeiro           529
CD03O038O 005235 DR. PAULO CÉSAR                         Sim       PSD       Rio de Janeiro           296
CD03O038O 005235 EDSON EZEQUIEL                          Sim       PMDB      Rio de Janeiro           298
CD03O038O 005235 EDSON SANTOS                            Sim       PT        Rio de Janeiro           299
CD03O038O 005235 EDUARDO CUNHA                           Sim       PMDB      Rio de Janeiro           300
CD03O038O 005235 EURICO JÚNIOR                           Sim       PV        Rio de Janeiro           613
CD03O038O 005235 FELIPE BORNIER                          Sim       PSD       Rio de Janeiro           301
CD03O038O 005235 FERNANDO JORDÃO                         Sim       PMDB      Rio de Janeiro           557
CD03O038O 005235 FERNANDO LOPES                          Sim       PMDB      Rio de Janeiro           623
CD03O038O 005235 FRANCISCO FLORIANO                      Sim       PR        Rio de Janeiro           297
CD03O038O 005235 GLAUBER BRAGA                           Sim       PSB       Rio de Janeiro           304
CD03O038O 005235 HUGO LEAL                               Sim       PSC       Rio de Janeiro           306
CD03O038O 005235 JAIR BOLSONARO                          Sim       PP        Rio de Janeiro           302
CD03O038O 005235 JANDIRA FEGHALI                         Sim       PCdoB     Rio de Janeiro           305
CD03O038O 005235 JORGE BITTAR                            Sim       PT        Rio de Janeiro           310
CD03O038O 005235 LEONARDO PICCIANI                       Sim       PMDB      Rio de Janeiro           312
CD03O038O 005235 LUIZ SÉRGIO                             Sim       PT        Rio de Janeiro           313
CD03O038O 005235 MANUEL ROSA NECA                        Sim       PR        Rio de Janeiro           614
CD03O038O 005235 MARCELO MATOS                           Sim       PDT       Rio de Janeiro           311
CD03O038O 005235 MIRO TEIXEIRA                           Não       PDT       Rio de Janeiro           317
CD03O038O 005235 PAULO FEIJÓ                             Sim       PR        Rio de Janeiro           577
CD03O038O 005235 ROMÁRIO                                 Sim       PSB       Rio de Janeiro           319
CD03O038O 005235 SERGIO ZVEITER                          Sim       PSD       Rio de Janeiro           320
CD03O038O 005235 SIMÃO SESSIM                            Sim       PP        Rio de Janeiro           327
CD03O038O 005235 STEPAN NERCESSIAN                       Sim       PPS       Rio de Janeiro           323
CD03O038O 005235 VITOR PAULO                             Sim       PRB       Rio de Janeiro           324
CD03O038O 005235 ZOINHO                                  Sim       PR        Rio de Janeiro           328
CD03O038O 005235 ABELARDO CAMARINHA                      Sim       PSB       São Paulo                329
CD03O038O 005235 ALEXANDRE LEITE                         Obstrução DEM       São Paulo                334
CD03O038O 005235 ALINE CORRÊA                            Sim       PP        São Paulo                330
CD03O038O 005235 ANTONIO BULHÕES                         Sim       PRB       São Paulo                333
CD03O038O 005235 ANTONIO CARLOS MENDES THAME             Sim       PSDB      São Paulo                332
CD03O038O 005235 ARLINDO CHINAGLIA                       Sim       PT        São Paulo                336
CD03O038O 005235 ARNALDO FARIA DE SÁ                     Sim       PTB       São Paulo                337
CD03O038O 005235 ARNALDO JARDIM                          Sim       PPS       São Paulo                339
CD03O038O 005235 BETO MANSUR                             Sim       PP        São Paulo                340
CD03O038O 005235 BRUNA FURLAN                            Sim       PSDB      São Paulo                335
CD03O038O 005235 CÂNDIDO VACCAREZZA                      Sim       PT        São Paulo                389
CD03O038O 005235 CARLOS ROBERTO                          Sim       PSDB      São Paulo                569
